x, y, z
5.450382, -1.557252, -0.488550
5.648855, -2.015267, -0.305344
5.404580, -2.870229, -0.183206
5.114504, -3.740458, -0.213740
5.267176, -4.916030, -0.091603
5.404580, -6.030534, -0.213740
5.145038, -6.549618, -0.381679
5.114504, -6.320611, -0.351145
4.992366, -5.679389, -0.458015
4.946565, -5.465649, -0.839695
4.534351, -6.763359, -1.007634
3.908397, -9.190840, -1.099237
2.977099, -13.465649, -1.419847
2.015267, -17.832062, -1.526718
1.114504, -22.412214, -2.122137
0.152672, -26.992367, -2.656489
-0.564885, -31.526718, -3.190840
-0.961832, -35.709923, -3.572519
-1.297710, -40.412212, -3.954198
-1.511450, -44.061069, -3.923664
-2.488550, -46.213741, -3.587786
-4.595420, -46.549618, -2.931298
-7.557252, -44.335876, -2.030534
-10.549619, -39.984734, -1.404580
-12.992367, -34.137405, -1.419847
-14.854961, -29.022902, -1.709924
-13.893129, -22.854961, -3.587786
-12.167939, -16.610687, -5.969466
-9.343512, -9.603053, -8.687023
-6.061069, -1.343511, -10.839695
-2.870229, 7.893130, -13.129771
-0.122137, 17.206106, -14.931297
2.122137, 25.893129, -16.519083
4.106870, 32.580154, -17.908398
6.229008, 37.938931, -19.083969
8.259542, 42.030533, -20.061069
10.122137, 45.053436, -20.839695
12.259542, 46.961834, -21.160305
14.625955, 47.740459, -20.748091
16.931297, 46.610687, -19.450382
18.412214, 44.656490, -17.221375
20.167938, 41.374046, -14.824428
20.793894, 38.320610, -12.045801
20.900763, 36.396946, -9.206107
22.564886, 32.473282, -5.679389
22.717558, 30.106871, -2.183206
1.526718, 31.511450, -11.709924
18.839695, -98.961830, 11.145039
-17.221375, -128.595413, -8.946565
-15.801527, -68.992363, -10.717557
-7.709924, -62.473282, 9.725191
-31.435114, 3.251908, -0.213740
58.106869, 45.068703, -26.015266
-1.786260, 39.694656, -7.847328
-14.564885, -19.725191, 4.030534
-2.137405, -4.488550, 7.938931
1.648855, 12.946565, -1.877863
2.503817, 8.000000, -0.274809
11.664123, -21.770992, -7.587786
25.297710, -11.816793, -0.656489
-9.603053, 0.030534, -10.610687
-0.992366, 2.503817, -5.297710
7.129771, -1.786260, -12.564885
-8.885496, 3.022901, -11.969465
-1.038168, -3.145038, -15.755725
0.167939, -1.435115, -12.229008
-3.022901, 0.946565, -9.251908
1.877863, -2.442748, -9.404580
-2.213740, 2.748092, -3.587786
1.175573, -1.465649, -1.374046
1.648855, -0.549618, 1.175573
-2.595420, -0.625954, -1.114504
-2.503817, -0.595420, -0.641221
1.328244, -1.022901, -0.274809
-4.641222, 0.916031, -2.641221
