x, y, z
0.122137, -0.030534, -0.106870
-0.076336, -0.137405, 0.091603
-0.091603, 0.091603, 0.015267
-0.061069, -0.122137, 0.106870
0.045802, 0.137405, -0.030534
-0.030534, -0.076336, -0.061069
0.000000, 0.167939, 0.045802
0.122137, -0.198473, -0.076336
0.106870, 0.152672, -0.015267
0.122137, 0.000000, 0.030534
-0.030534, 0.152672, 0.045802
-0.152672, -0.213740, 0.030534
-0.015267, 0.213740, -0.045802
-0.045802, 0.229008, 0.167939
0.061069, -0.015267, 0.030534
0.000000, 0.106870, 0.045802
0.229008, -0.152672, 0.030534
0.030534, 0.106870, -0.045802
-0.122137, -0.152672, -0.076336
0.030534, -0.122137, -0.030534
0.091603, 0.030534, -0.015267
0.030534, -0.137405, -0.167939
0.137405, 0.045802, -0.061069
-0.030534, -0.030534, 0.122137
0.000000, -0.045802, -0.030534
-0.183206, -0.030534, 0.152672
0.030534, 0.045802, -0.030534
0.015267, -0.015267, -0.152672
0.061069, 0.183206, 0.091603
-0.015267, 0.061069, 0.076336
0.015267, -0.244275, -0.061069
-0.137405, -0.106870, 0.076336
-0.061069, 0.106870, 0.091603
-0.045802, -0.030534, -0.045802
-0.045802, 0.259542, -0.061069
0.137405, -0.030534, 0.045802
-0.030534, -0.167939, -0.045802
-0.152672, 0.000000, 0.061069
0.015267, -0.061069, -0.015267
0.015267, 0.122137, 0.045802
-0.061069, -0.015267, -0.076336
0.045802, 0.076336, 0.000000
-0.015267, -0.122137, 0.076336
-0.137405, -0.106870, 0.015267
-0.106870, -0.030534, -0.106870
-0.030534, 0.076336, 0.015267
0.122137, 0.000000, -0.106870
-0.045802, -0.137405, -0.152672
-0.015267, 0.030534, 0.076336
-0.122137, -0.183206, 0.183206
0.030534, 0.122137, 0.000000
-0.045802, 0.076336, 0.167939
-0.045802, 0.106870, 0.045802
-0.106870, -0.030534, -0.137405
0.076336, -0.091603, -0.198473
-0.015267, -0.259542, -0.076336
-0.045802, -0.091603, 0.000000
-0.015267, 0.000000, 0.045802
0.076336, -0.183206, 0.076336
-0.091603, -0.305344, -0.061069
0.076336, 0.122137, 0.061069
-0.015267, -0.183206, -0.045802
0.106870, -0.076336, -0.091603
-0.061069, 0.137405, 0.015267
0.015267, -0.183206, -0.122137
-0.106870, -0.045802, 0.000000
-0.076336, 0.030534, 0.015267
0.061069, 0.015267, -0.015267
0.000000, -0.030534, 0.030534
-0.015267, 0.015267, -0.091603
0.045802, 0.061069, -0.061069
-0.091603, -0.015267, 0.015267
0.045802, -0.122137, 0.076336
-0.045802, -0.091603, 0.045802
0.198473, -0.015267, -0.030534
0.137405, 0.137405, -0.076336
0.030534, -0.229008, -0.061069
-0.045802, 0.122137, -0.030534
-0.045802, -0.167939, -0.076336
-0.076336, 0.045802, -0.106870
-0.045802, 0.061069, 0.137405
-0.152672, 0.015267, 0.106870
0.045802, 0.305344, -0.122137
0.045802, -0.061069, 0.015267
-0.106870, 0.030534, -0.061069
0.030534, -0.030534, 0.015267
-0.045802, 0.030534, 0.030534
-0.061069, -0.030534, 0.061069
0.030534, 0.091603, 0.091603
0.076336, 0.122137, -0.045802
-0.106870, -0.137405, -0.122137
-0.183206, 0.061069, -0.122137
0.000000, 0.045802, 0.030534
-0.076336, -0.091603, -0.015267
-0.045802, 0.091603, 0.045802
0.015267, -0.167939, -0.091603
-0.122137, -0.015267, 0.229008
-0.061069, -0.045802, 0.030534
0.061069, -0.015267, 0.015267
0.030534, 0.045802, -0.091603
0.015267, -0.045802, -0.015267
0.030534, 0.091603, -0.045802
0.030534, -0.015267, 0.000000
0.152672, 0.061069, -0.015267
-0.045802, 0.122137, -0.183206
0.106870, -0.076336, 0.137405
0.152672, -0.030534, 0.152672
0.000000, 0.122137, -0.030534
-0.061069, 0.091603, 0.000000
-0.061069, 0.290076, 0.061069
0.000000, 0.076336, -0.152672
0.045802, 0.045802, -0.030534
-0.015267, -0.015267, 0.000000
0.000000, 0.122137, 0.030534
-0.091603, -0.015267, -0.167939
0.152672, -0.076336, -0.076336
0.076336, -0.045802, -0.122137
-0.015267, 0.198473, 0.045802
-0.015267, -0.167939, -0.061069
-0.030534, -0.030534, -0.091603
-0.152672, -0.061069, -0.091603
0.076336, -0.122137, 0.137405
0.030534, 0.137405, -0.045802
-0.045802, 0.045802, 0.061069
0.015267, -0.030534, 0.061069
-0.167939, 0.000000, -0.076336
-0.061069, -0.030534, -0.137405
-0.045802, -0.061069, 0.106870
-0.015267, 0.152672, -0.122137
-0.030534, 0.015267, 0.091603
-0.030534, 0.015267, -0.045802
0.091603, 0.183206, 0.015267
-0.076336, 0.122137, 0.045802
0.000000, -0.137405, 0.198473
-0.015267, -0.122137, -0.290076
0.000000, -0.229008, 0.045802
0.015267, -0.030534, -0.045802
-0.015267, -0.091603, 0.106870
0.061069, -0.122137, -0.015267
0.000000, 0.198473, -0.122137
-0.061069, 0.091603, 0.061069
0.076336, 0.076336, -0.045802
-0.076336, 0.076336, -0.076336
0.045802, 0.000000, 0.015267
-0.106870, -0.137405, 0.122137
0.015267, 0.106870, 0.045802
-0.045802, -0.045802, -0.183206
0.167939, 0.106870, 0.000000
-0.122137, 0.030534, 0.061069
0.030534, 0.030534, -0.045802
-0.045802, -0.152672, -0.030534
-0.122137, -0.015267, 0.000000
-0.045802, 0.045802, 0.061069
-0.076336, -0.106870, -0.061069
-0.061069, -0.076336, 0.030534
-0.030534, -0.183206, 0.030534
-0.152672, 0.183206, 0.045802
-0.198473, 0.091603, -0.015267
0.244275, -0.061069, 0.045802
-0.076336, -0.045802, -0.030534
0.015267, 0.061069, -0.213740
-0.015267, 0.030534, 0.045802
-0.106870, -0.091603, 0.000000
0.015267, -0.045802, 0.045802
0.045802, 0.000000, 0.061069
0.167939, 0.198473, -0.030534
0.030534, -0.106870, 0.091603
0.000000, -0.106870, 0.091603
-0.015267, 0.000000, 0.061069
0.015267, -0.061069, -0.137405
-0.045802, 0.015267, 0.000000
0.000000, -0.137405, 0.076336
0.076336, -0.122137, -0.152672
0.015267, 0.213740, -0.015267
0.152672, 0.076336, 0.213740
0.167939, -0.183206, 0.106870
